Kunta,C,100;Mjtunnus,N,10,0;Kohdenimi,C,100;Ajoitus,C,254;Tyyppi,C,100;Alatyyppi,C,100;Laji,C,100;I,N,31,15;P,N,31,15;Paikannust,N,10,0;Paikannu00,N,10,0;Selite,C,254;Tuhoutunut,C,100;Luontipvm,D;Muutospvm,D;Zala,N,14,2;Zylä,N,14,2;Vedenalain,C,1
Parainen;1654;Sparta;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;212729.182;6633494.635;11002;0;Paikannettu karttaliitteen mukaan;Ei;26.11.01;28.01.11;0.00;0.00;k
Parainen;1655;Ståtbådarnan länsipuoli 2;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;216721.58;6633378.696;11003;0;karttaliitteen mukaan, epätarkat paikkatiedot;Ei;26.11.01;28.01.11;0.00;0.00;k
Parainen;1657;Egelskär;keskiaikainen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;208345.89;6642653.93;11001;0;Paikannettu koordinaattien mukaan;Ei;26.11.01;28.01.11;0.00;0.00;k
Parainen;1660;Sede;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;206880.4;6658021.748;11002;0;ilmoittajan piirroskartan mukaan paikannettu;Ei;27.11.01;28.01.11;0.00;0.00;k
Parainen;1661;Rauha;historiallinen;alusten hylyt;ei määritelty;muu kohde;207011.35;6658076.729;11002;0;Paikannettu karttaliitteen mukaan;Ei;27.11.01;28.01.11;0.00;0.00;k
Raasepori;1467;Segelskär 3;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;296842.404;6629701.603;11002;0;Paikannettu Teredo Navaliksen kartan mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Raasepori;1473;Segelskär 4;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;296344.599;6630858.13;11002;0;Paikannettu Lasse Haapamäen kartan 1999 (Calypso ry)  mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Kotka;1531;Halssinsaari 1;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;499297.618;6699749.432;11001;0;Paikannettu Viistokaikuluotaimen kartan mukaan;Ei;20.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1557;Rönnlandet;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;247304.253;6641369.656;11002;0;Paikannettu Jari Näräsen raportin(1995) kartan mukaan;Ei;21.11.01;28.01.11;0.00;0.00;k
Parainen;1567;Halsholm pohjoisranta;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;209746.153;6676578.318;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;21.11.01;28.01.11;0.00;0.00;k
Inkoo;1589;Ådgrund;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;333765.466;6648749.136;11002;0;Paikannettu kartan mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Parainen;1598;Västernäs fladan;historiallinen;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;188796.479;6693511.408;11002;0;Paikannettu karttaliitteen mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Parainen;1602;Röst;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;184758.163;6680994.418;11001;0;Paikannettu karttaliitteen mukaan P=6683811 I=3184795. Hylyn nykyiset koordinaatit on saatu MKL:n merenmittausyksiköltä, nämä poikkeavat n. 20 m vanhasta.  paikannuksesta.;Ei;22.11.01;28.01.11;0.00;0.00;k
Turku;1630;Ruissalon proomu;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;235809.518;6709371.276;11003;0;Sijaintiarvion antoi työmestari Paanasalo, joka on yrittänyt turkulaisen sukeltajan kanssa käydä kohteella, voimakas ruovikko esteenä;Ei;23.11.01;28.01.11;0.00;0.00;k
Merikarvia;1759;Skandinavia;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;201646.456;6876897.855;11003;0;Paikannettu kartan mukaan, epätarkat paikkatiedot;Ei;30.11.01;28.01.11;0.00;0.00;k
Mustasaari;1801;Wilpas;historiallinen;alusten hylyt;hylyt (metalli);muu kulttuuriperintökohde;181095.098;7024036.72;11003;0;epätarkka paikkatieto, paikannettu informantin antamien koordinaattien mukaan kansalaisen karttapaikan avulla;Ei;04.12.01;28.01.11;0.00;0.00;k
Inkoo;1425;Trutgrunden;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;339376.189;6652039.835;11002;0;Paikannettu Sukeltajat ry kartan mukaan, epätarkka paikkatieto;Ei;13.11.01;28.01.11;0.00;0.00;k
Inkoo;1427;Oxgrundet;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;338091.705;6653362.3;11002;0;Paikannettu Sukeltajat ry kartan mukaan;Ei;13.11.01;28.01.11;0.00;0.00;k
Raasepori;1465;Äggharun 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;295318.976;6636940.682;11002;0;Paikannettu  Calypso ry kartan (1994) mukaan,  (Paikannettu osa II kohdalle);Ei;15.11.01;28.01.11;0.00;0.00;k
Raasepori;1470;Eggo;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;292739;6640300.317;11002;0;Paikannettu Vaheri-Hyvärinen-Saari, 1996 s. 295 sukelluskohdekartan mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1502;Orrnäs;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;270204.834;6682618.192;11004;0;sanallisen selostuksen perusteella paikannettu, puutteelliset paikkatiedot;Ei;16.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1521;Väktars strömmen;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;245868.814;6644057.564;11002;0;Paikannettu ilmoittajan karttaliitteen  ja koordinaattien mukaan;Ei;19.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1522;Enskäret;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;245436.999;6641728.494;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;19.11.01;28.01.11;0.00;0.00;k
Kirkkonummi;1209;Söderskär;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;357362;6646672;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;04.12.12;;0.00;0.00;k
Helsinki;2698;Pihlajaletto;moderni;alusten hylyt;hylyt (metalli);muu kohde;384095;6667810;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;16.03.12;;0.00;0.00;k
Luumäki;1000026390;Jurvalanselkä 2;historiallinen;alusten hylyt;ei määritelty;muu kulttuuriperintökohde;540851;6757823;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;17.04.15;;0.00;0.00;K
Helsinki;1000018632;Matosaari 4;historiallinen;alusten hylyt;hylyt (puu);muu kohde;393342;6670227;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;05.04.11;;0.00;0.00;k
Vöyri;1821;Ryssberget;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;250013.383;7038380.227;11002;0;Paikannettu karttaliitteen mukaan;Ei;05.12.01;28.01.11;0.00;0.00;k
Maalahti;1825;Gjutan;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;182709.487;7014797.438;11002;0;Erkki Metsävuoren karttaliitteen mukaan  paikannettu;Ei;05.12.01;28.01.11;0.00;0.00;k
Uusikaarlepyy;1828;Stora Alören;historiallinen;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;272743.176;7058869.084;11003;0;epätarkka paikkatieto, paikannettu ilmoittajan epäselvän käsinpiirretyn kartan mukaan;Ei;07.12.01;28.01.11;0.00;0.00;k
Uusikaarlepyy;1830;Aspskäret eteläranta;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;270779.966;7059091.988;11002;0;Paikannettu vuoden 1987 löytöilmoituskartan mukaan Kansalaisen karttapaikan avulla.;Ei;07.12.01;28.01.11;0.00;0.00;k
Luoto;1849;Björn;historiallinen;alusten hylyt;hylyt (metalli);kiinteä muinaisjäännös;284206.457;7092878.472;11000;0;Paikannettu Jusa Peltoniemeltä saatujen koordinaattitietojen perusteella. Peltoniemi on sukeltanut kohteella.;Ei;07.12.01;28.01.11;0.00;0.00;k
Siikajoki;1860;Simppusäikkä;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;390415;7195137;11003;0;sanallisen selostuksen mukaan, hieman epätarkat paikkatiedot;Ei;10.12.01;17.07.18;0.00;0.00;k
Vöyri;1822;Ribergsträsket;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;254471.619;7031053.188;11002;0;karttaliitteen ja sanallisen selostuksen mukaan;Ei;05.12.01;28.01.11;0.00;0.00;k
Mustasaari;1824;Qvarken (Snipan);historiallinen;alusten hylyt;hylyt (metalli);muu kohde;188725.973;7038997.75;11002;0;Paikannettu karttaliitteen mukaan;Ei;05.12.01;28.01.11;0.00;0.00;k
Siikajoki;1861;Oulu II;historiallinen;alusten hylyt;ei määritelty;muu kohde;390634.355;7195510.591;11004;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;10.12.01;28.01.11;0.00;0.00;k
Mustasaari;1826;Diamantis;historiallinen;alusten hylyt;ei määritelty;muu kohde;182609.486;7024504.545;11004;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;05.12.01;28.01.11;0.00;0.00;k
Kalajoki;1855;Vihaslahti;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;347069.077;7129714.892;11002;0;Paikannettu karttaliitteen mukaan (kivi merkitty peruskarttaan) Kansalaisen karttapaikan avulla.;Ei;10.12.01;28.01.11;0.00;0.00;k
Hartola;2040;Kolmisoppi;ei määritelty;alusten hylyt;ruuhet;muu kohde;462617;6835266;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;29.02.12;;0.00;0.00;k
Helsinki;1000019728;Palosaari 3;historiallinen;alusten hylyt;hylyt (puu);muu kohde;388588;6672545;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;14.03.12;;0.00;0.00;k
Kirkkonummi;1000019987;Porkkalanniemi Vetokannas;;alusten hylyt;hylyt (puu);muu kohde;355808;6653120;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;03.05.12;;0.00;0.00;k
Oulu;1864;Telma;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;407434.516;7223885.241;11001;0;merkitty peruskarttaan;Ei;10.12.01;28.01.11;0.00;0.00;k
Oulu;1865;Sofia Maria;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;404057.863;7225753.478;11001;0;Aiemmat epätarkat paikkatiedot korjattu MKL:n mittaustoimiston 2003 ottamien koordinaattien perusteella. Vanhat koordinaatit WGS84 N 65.1472 E 24.9786;Ei;10.12.01;28.01.11;0.00;0.00;k
Helsinki;1325;Tiirakari;historiallinen;alusten hylyt;ei määritelty;muu kohde;384967;6667558;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;16.03.12;;0.00;0.00;k
Helsinki;1000020997;Mustikkamaa 4;;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;388276;6673438;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;14.01.13;;0.00;0.00;k
Imatra;1000028525;Lempukanlahti 1;ajoittamaton;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;592839;6787741;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;16.06.16;16.06.16;0.00;0.00;K
ei kuntatietoa;2498;Suomenlahti avomeri;historiallinen;alusten hylyt;hylyt (metalli);muu kulttuuriperintökohde;340959;6620946;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;20.04.12;;0.00;0.00;k
Inkoo;1000022071;Älgsjölandet Snäckhamn;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;329904;6653767;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;08.05.13;;0.00;0.00;k
Imatra;1000028526;Lempukanlahti 2;ajoittamaton;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;592868;6787660;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;16.06.16;16.06.16;0.00;0.00;k
Imatra;1000028528;Lempukanlahti 4;ajoittamaton;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;592890;6787761;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;16.06.16;16.06.16;0.00;0.00;k
Inkoo;1000022072;Storramsjö eteläranta;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;328555;6654904;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;08.05.13;;0.00;0.00;k
Rauma;1000030054;Iso Järviluoto pohjoisranta;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;200428;6789258;0;0;;Ei;13.01.17;;0.00;0.00;k
Mustasaari;1816;Gustavasbådan;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;204288.778;7026602.786;11002;0;Paikannettu sanallisen selosteen mukaan, hieman epätarkat paikkatiedot;Ei;05.12.01;28.01.11;0.00;0.00;k
Vöyri;1823;Brudhamnin hylky;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;267541.378;7028654.202;11002;0;karttaliitteen mukaan paikannettu;Ei;05.12.01;28.01.11;0.00;0.00;k
Kokkola;1846;Morsiussaaren kaakkoisranta;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;309590.278;7088245.422;11002;0;karttaliitteen mukaan paikannettu;Ei;07.12.01;28.01.11;0.00;0.00;k
Helsinki;1000021161;Kustaanmiekan peräsin;;alusten hylyt;ei määritelty;löytöpaikka;388088;6668514;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;31.01.13;;0.00;0.00;k
Helsinki;1000020998;Mustikkamaa 5;;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;388181;6673406;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;14.01.13;;0.00;0.00;k
Savonlinna;1898;Rapaluoto 2;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;600031.328;6860124.307;11002;0;karttaliitteen perusteella paikannettu;Ei;11.12.01;28.01.11;0.00;0.00;k
Mikkeli;1921;Anttola Harmolansalmi 1;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;536190.184;6826427.603;11002;0;paikannettu karttaliitteen mukaan;Ei;12.12.01;28.01.11;0.00;0.00;k
Puumala;1927;Hirviniemi;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;574659.674;6831331.797;11002;0;karttaliitteen mukaan paikannettu;Ei;12.12.01;28.01.11;0.00;0.00;k
Puumala;1931;moottorivene;historiallinen;alusten hylyt;ei määritelty;muu kohde;575099.495;6830468.149;11002;0;sanallisen selostuksen mukaan paikannettu;Ei;12.12.01;28.01.11;0.00;0.00;k
Mikkeli;1951;Juurisalmi 2;historiallinen;alusten hylyt;ei määritelty;muu kulttuuriperintökohde;514907.767;6823287.776;11002;0;karttaliitteen mukaan paikannettu;Ei;13.12.01;28.01.11;0.00;0.00;k
Lappeenranta;1986;Kilpiänsaari;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;575209.651;6785407.295;11002;0;Paikannettu sanallisen selostuksen perusteella, hieman epätarkat paikkatiedot;Ei;17.12.01;28.01.11;0.00;0.00;k
Iisalmi;1996;Venakkolahti;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;511106.409;7045388.373;11003;0;Sanallisen selostuksen perusteella paikannettu, hieman epätarkat paikkatiedot;Ei;17.12.01;28.01.11;0.00;0.00;k
Kuopio;2014;Napero;historiallinen;alusten hylyt;hylyt (puu);muu kohde;537263.185;6964529.008;11002;0;Paikannettu karttaliitteen mukaan;Ei;18.12.01;28.01.11;0.00;0.00;k
Sulkava;1900;Siikaniemen hylky;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;565901.146;6844657.393;11002;0;Paikannettu karttaliitteen mukaan;Ei;11.12.01;28.01.11;0.00;0.00;k
Sulkava;1901;Linnavuori;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;569880.528;6847191.389;11002;0;karttaliitteen mukaan paikannettu;Ei;11.12.01;28.01.11;0.00;0.00;k
Mikkeli;1924;Anttola Harmolansalmi 4;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;536223.174;6826391.619;11002;0;paikannettu karttaliitteen mukaan;Ei;12.12.01;28.01.11;0.00;0.00;k
Mikkeli;1926;Anttola Harmolansalmi 6;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;536232.167;6826358.635;11002;0;paikannettu karttaliitteen mukaan;Ei;12.12.01;28.01.11;0.00;0.00;k
Puumala;1932;Pieni Huhtilahti;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;537549.713;6809957.241;11002;0;karttaliitteen perusteella paikannettu;Ei;12.12.01;28.01.11;0.00;0.00;k
Puumala;1933;Tammoluodon hylky;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;538563.316;6807281.32;11002;0;Paikannettu Esko Mikkosen (12.8.1993) mukaan;Ei;12.12.01;28.01.11;0.00;0.00;k
Hamina;1987;Suolöytövene;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;521831.393;6731114.919;11001;0;koordinaattien perusteella paikannettu;Ei;17.12.01;28.01.11;0.00;0.00;k
Kuopio;2017;Matkusjärvi 2;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;530483.913;6965749.49;11003;0;sekavat paikkatiedot, kartan mukaan järven pohjoisosassa, sanallisen selostuksen mukaan eteläpäässä, paikannus kartan mukaan;Ei;18.12.01;28.01.11;0.00;0.00;k
Raasepori;2044;Lilla Tregren 2;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;306497.292;6675191.36;11002;0;Karttaliitteen mukaan paikannettu;Ei;27.12.01;28.01.11;0.00;0.00;k
Mäntsälä;2050;Hanhioja 4;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;417913.196;6735015.852;11002;0;karttaliitteen mukaan paikannettu;Ei;27.12.01;28.01.11;0.00;0.00;k
Loppi;2057;Vähä-Melkutin;ei määritelty;alusten hylyt;ruuhet;löytöpaikka;339461.738;6736891.723;11003;0;sanallisen selostuksen mukaan paikannettu, epätarkat paikkatiedot;Ei;27.12.01;28.01.11;0.00;0.00;k
Savonlinna;1887;Uuraansaari;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;599418.58;6859701.478;11002;0;Paikannettu karttaliitteen mukaan;Ei;11.12.01;28.01.11;0.00;0.00;k
Savonlinna;1889;Koululahti eteläranta;historiallinen;alusten hylyt;ei määritelty;muu kohde;599594.505;6861024.939;11002;0;karttaliitteen mukaan paikannettu;Ei;11.12.01;28.01.11;0.00;0.00;k
Ylöjärvi;2131;Allo;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;324173.413;6838658.751;11002;0;paikannettu karttaliitteen mukaan;Ei;08.01.02;28.01.11;0.00;0.00;k
Kotka;2223;Kuusisen sotilassataman hylky;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;498119.078;6702730.228;11002;0;Paikannettu karttaliitteen mukaan;Ei;23.01.02;28.01.11;0.00;0.00;k
Savonlinna;1897;Muhasaari;historiallinen;alusten hylyt;hylyt (puu);muu kohde;587715.315;6854422.547;11002;0;karttaliitteen mukaan paikannettu;Ei;11.12.01;28.01.11;0.00;0.00;k
Mikkeli;1923;Anttola Harmolansalmi 3;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;536173.192;6826404.617;11002;0;paikannettu karttaliitteen mukaan;Ei;12.12.01;28.01.11;0.00;0.00;k
Puumala;1936;Sahalahden hylky;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;560769.28;6827155.413;11002;0;karttaliitteen mukaan paikannettu;Ei;12.12.01;28.01.11;0.00;0.00;k
Mikkeli;1952;Juurisalmi 3;historiallinen;alusten hylyt;ei määritelty;muu kulttuuriperintökohde;514807.801;6823900.529;11002;0;karttaliitteen mukaan paikannettu;Ei;13.12.01;28.01.11;0.00;0.00;k
Taipalsaari;1965;Vitsai 3;historiallinen;alusten hylyt;ei määritelty;muu kohde;549393.06;6782069.52;11002;0;Kai Kaartisen karttaliitteen mukaan paikannettu (toinen kaksoishylystä);Ei;14.12.01;28.01.11;0.00;0.00;k
Liperi;2024;Rauvansaari;historiallinen;alusten hylyt;ei määritelty;muu kohde;631463.402;6925473.106;11003;0;sanalisen selostuksen mukaan paikannettu, hieman epätarkat paikkatiedot;Ei;19.12.01;28.01.11;0.00;0.00;k
Heinävesi;2025;Ruokovirta;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;589985.152;6914912.198;11002;0;Paikannettu piirroskartan perusteella paikannettu;Ei;19.12.01;28.01.11;0.00;0.00;k
Heinävesi;2026;Kerma Mäntylahti;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;591466.54;6919501.356;11003;0;Paikannettu ilmoittajan lähettämän kartan ja Kansalaisen karttapaikan avulla;Ei;21.12.01;28.01.11;0.00;0.00;k
Konnevesi;2052;Saittalammen ruuhi 2;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;465060.294;6950355.435;11003;0;sanallisen selostuksen mukaan paikannettu, epätarkat paikkatiedot;Ei;27.12.01;28.01.11;0.00;0.00;k
Raasepori;2045;Lomsjö;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;309646.088;6662463.499;11002;0;Karttaliitteen mukaan paikannettu;Ei;27.12.01;28.01.11;0.00;0.00;k
Mäntsälä;2046;Mäkijärvi;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;417142.505;6735636.601;11002;0;karttaliitteen mukaan paikannettu;Ei;27.12.01;28.01.11;0.00;0.00;k
Raasepori;1476;Segelskär 1;historiallinen;alusten hylyt;hylyt (metalli);muu kulttuuriperintökohde;296244.644;6630679.2;11002;3;korjaus 7.4.2018 työpaja;Ei;15.11.01;10.04.18;0.00;0.00;k
Raasepori;1490;Höstnäs;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;318612.531;6653036.336;11002;0;Paikannettu ilmoittajan piirroskartan mukaan;Ei;16.11.01;28.01.11;0.00;0.00;k
Mäntsälä;2047;Hanhioja 1;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;417865.218;6734917.899;11002;0;karttaliitteen mukaan paikannettu;Ei;27.12.01;28.01.11;0.00;0.00;k
Konnevesi;2051;Saittalammen ruuhi 1;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;465047.301;6950369.423;11003;0;sanallisen selostuksen mukaan paikannettu, epätarkat paikkatiedot;Ei;27.12.01;28.01.11;0.00;0.00;k
Nurmijärvi;2054;Vaaksinjärvi 1;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;372350.659;6707743.6;11003;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;27.12.01;28.01.11;0.00;0.00;k
Nurmijärvi;2055;Vaaksinjärvi 2;ei määritelty;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;372300.677;6707748.599;11003;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;27.12.01;28.01.11;0.00;0.00;k
Helsinki;2079;Pikku-Mustasaari 3;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;387764.647;6669708.978;11001;0;Kohdassa tehty tarkastussukellus 8.3.2007. Paikkatiedot ovat hyvät.;Ei;31.12.01;28.01.11;0.00;0.00;k
Savonlinna;1886;Kyrönsalmi Kyrönniemi;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;600206.254;6860752.059;11002;0;Paikannettu karttaliitteen mukaan;Ei;11.12.01;28.01.11;0.00;0.00;k
